t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0,0.0121225,0,-0.00155628,0,-0.000153329,0,2.01079,2.5,-9.01499e-05,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.005,0.0221745,0,-0.000242979,0,-0.000109891,0,2.05749,2.5,-0.000458202,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.01,0.0323612,0,-0.000649037,0,-0.000290995,0,2.00754,2.5,0.00215076,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.015,0.0412925,0,-0.00186774,0,-0.000288148,0,2.00494,2.5,-0.000789648,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.02,0.0526382,0,-0.00131226,0,-0.000349551,0,1.95442,2.5,-0.00622478,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.025,0.0634776,0,-0.00237956,0,-0.000431048,0,2.00494,2.5,0.00413473,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.03,0.0728846,0,-0.0013894,0,-0.000431709,0,2.03135,2.5,0.0145853,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.035,0.0842107,0,-0.00250949,0,-0.000298199,0,2.04531,2.5,0.0176813,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.04,0.0933177,0,-0.00429581,0,-0.00028001,0,2.04902,2.5,0.0161826,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.045,0.104523,0,-0.00400841,0,-0.000185346,0,2.08304,2.5,0.0065936,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.05,0.114692,0,-0.00345219,0,-0.000337015,0,2.11023,2.5,0.0143328,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.055,0.126528,0,-0.00471737,0,-0.000452587,0,2.06531,2.5,0.0116832,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.06,0.13543,0,-0.00583732,0,-0.00059712,0,1.99681,2.5,-0.000810835,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.065,0.145922,0,-0.00759601,0,-0.000594523,0,2.03103,2.5,0.00214239,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.07,0.154995,0,-0.00619868,0,-0.000630092,0,1.98904,2.5,-0.00082364,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.075,0.164774,0,-0.00629526,0,-0.000539378,0,2.03449,2.5,-0.00231473,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.08,0.174349,0,-0.00622768,0,-0.000550191,0,1.99705,2.5,-0.0120934,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.085,0.186692,0,-0.00667494,0,-0.000467501,0,2.06856,2.5,-0.00979542,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.09,0.197143,0,-0.00475577,0,-0.000391926,0,2.0942,2.5,-0.00944659,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.095,0.207667,0,-0.00548765,0,-0.000392797,0,2.10582,2.5,-0.00197457,0,0.110069,0.0998375,0.222858,-0.163409,0.222609,-0.161634
0.1,0.219047,0.25,-0.00461844,0,-0.000576448,0,2.15865,2.5,-0.0123655,0,0.263302,-0.00177101,0.207467,0.13257,0.315171,-0.0149601
