t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0,0.0121225,0,-0.00155628,0,-0.000153329,0,2.01078,2.5,-8.52694e-05,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.005,0.0221745,0,-0.000242979,0,-0.000109874,0,2.05749,2.5,-0.000448441,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.01,0.0323611,0,-0.000649037,0,-0.000290944,0,2.00753,2.5,0.0021654,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.015,0.0412925,0,-0.00186774,0,-0.000288046,0,2.00493,2.5,-0.000770126,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.02,0.0526381,0,-0.00131226,0,-0.000349381,0,1.95441,2.5,-0.00620038,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.025,0.0634774,0,-0.00237956,0,-0.000430796,0,2.00493,2.5,0.00416401,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.03,0.0728844,0,-0.00138939,0,-0.000431356,0,2.03134,2.5,0.0146195,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.035,0.0842104,0,-0.00250948,0,-0.000297726,0,2.0453,2.5,0.0177203,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.04,0.0933173,0,-0.00429579,0,-0.0002794,0,2.049,2.5,0.0162265,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.045,0.104523,0,-0.00400839,0,-0.000184582,0,2.08302,2.5,0.00664241,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.05,0.114692,0,-0.00345217,0,-0.000336076,0,2.11021,2.5,0.0143865,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.055,0.126528,0,-0.00471734,0,-0.000451453,0,2.06528,2.5,0.0117418,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.06,0.13543,0,-0.00583727,0,-0.000595778,0,1.99679,2.5,-0.000747388,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.065,0.145921,0,-0.00759594,0,-0.000592962,0,2.031,2.5,0.00221072,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.07,0.154994,0,-0.00619861,0,-0.000628292,0,1.98901,2.5,-0.000750432,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.075,0.164773,0,-0.00629516,0,-0.000537327,0,2.03445,2.5,-0.00223664,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.08,0.174348,0,-0.00622756,0,-0.000547865,0,1.99702,2.5,-0.0120104,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.085,0.18669,0,-0.0066748,0,-0.000464889,0,2.06852,2.5,-0.00970757,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.09,0.197142,0,-0.0047556,0,-0.000389001,0,2.09416,2.5,-0.00935386,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.095,0.207665,0,-0.00548745,0,-0.000389536,0,2.10578,2.5,-0.00187696,0,0.10966,0.100814,0.222858,-0.163409,0.222858,-0.163409
0.1,0.219045,0.25,-0.00461821,0,-0.000572832,0,2.15947,2.5,-0.0123776,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
0.105,0.229387,0.25,-0.00559701,0,-0.000477864,0,2.13149,2.5,-0.0238506,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
0.11,0.238943,0.25,-0.00436618,0,-0.000372628,0,2.1738,2.5,-0.0224976,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
