t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
0,0,0,0,0,0,0,2,2.5,0,0,0.110069,0.0998471,-0.015943,0
0.1,0.207667,0.25,-0.00548764,0,-0.000392765,0,2.10582,2.5,-0.00197361,0,0.253397,-0.0217871,0.907583,0
0.2,0.429606,0.5,-0.00285488,0,-0.000704419,0,2.32206,2.5,-0.0113449,0,-0.013861,0.0367629,0.373716,0
0.3,0.658642,0.5,-0.00233248,0,-0.00129055,0,2.08258,2.5,0.00311707,0,0.447882,0.0326999,-0.0618134,0
0.4,0.863719,1,-0.000321383,0,-0.000449851,0,2.40418,2.5,0.0273041,0,0.0400063,-0.0633107,0.165855,0
0.5,1.09272,1.25,-0.00525398,0,0.000473454,0,2.27149,2.5,-1.0814e-05,0,0.169345,0.0239565,-0.0175811,0
0.6,1.32017,1.25,-0.0030173,0,-3.89733e-05,0,2.42755,2.5,0.00772058,0,-0.0321237,-0.0416541,0.141894,0
0.7,1.58268,1.75,-0.00695173,0,-0.00192448,0,2.54448,2.5,-0.0235894,0,-0.295585,0.0803997,0.0116818,0
0.8,1.84407,2,-0.0141141,0,-0.00425639,0,2.49124,2.5,-0.0250538,0,-0.248255,0.133218,-0.103879,0
0.9,2.07544,2.25,-0.020624,0,-0.00474814,0,2.14865,2.5,0.00880613,0,0.361051,0.030487,-0.0360839,0
1,2.30115,2.5,-0.0183643,0,-0.00509225,0,2.33827,2.5,-0.0172953,0,0.248561,0.0814129,0.0188065,0
1.1,2.55232,2.75,-0.00935259,0,-0.00698511,0,2.46681,2.5,-0.00928766,0,0.00187409,0.0932334,-0.0277795,0
1.2,2.78852,2.75,-0.00965307,0,-0.00785883,0,2.41397,2.5,-0.0171861,0,0.0886838,0.134848,-0.048586,0
1.3,3.04218,3.25,-0.0116909,0,-0.00995452,0,2.73062,2.5,-0.029306,0,-0.467116,0.168758,-0.0837313,0
1.4,3.30315,3.5,-0.00341682,0,-0.0115519,0,2.58753,2.5,0.00179209,0,-0.361322,0.0606936,0.00874848,0
1.5,3.56231,3.75,-0.00355093,0,-0.0116028,0,2.67522,2.5,0.016082,0,-0.510609,0.0132371,0.0241235,0
1.6,3.83502,4,-0.007313,0,-0.00989988,0,2.75814,2.5,0.0197034,0,-0.719986,0.0110877,0.0389384,0
1.7,4.1234,4.25,-0.0167173,0,-0.00849415,0,2.78616,2.5,0.0213309,0,-0.923279,-0.0158437,0.0309964,0
1.8,4.37647,4.5,-0.025502,0,-0.00491533,0,2.53395,2.5,0.0531367,0,-0.567988,-0.136547,0.0915978,0
1.9,4.62912,4.75,-0.0213242,0,-0.000647669,0,2.46012,2.5,0.0455486,0,-0.168316,-0.106347,0.0589582,0
2,4.86228,5,-0.0210779,0,0.0030102,0,2.1878,2.5,0.0574633,0,0.321662,-0.128772,0.0782937,0
2.1,5.06668,5.25,-0.0182571,0,0.00639684,0,2.28237,2.5,0.0426719,0,0.272986,-0.109432,0.0395902,0.0149938
2.2,5.2802,5.5,-0.025661,0,0.00740603,0,1.99294,2.5,0.0021317,0,0.86293,-0.0508489,0.0682416,0.02995
2.3,5.50769,5.75,-0.0195914,0,0.00921598,0,2.36691,2.5,0.0165629,0,0.399157,-0.0588057,0.0167175,0.0448314
2.4,5.75614,5.75,-0.0143638,0,0.0103517,0,2.4567,2.5,0.00903867,0,0.139262,-0.0481105,-0.00176744,0.0596008
2.5,5.97885,6.25,-0.0130346,0,0.0126531,0,1.93203,2.5,0.0287776,0,1.02527,-0.0991199,-0.00559471,0.0742212
2.6,6.17441,6.5,-0.00217619,0,0.0130405,0,2.12649,2.5,0.0194102,0,1.02222,-0.0917514,0.00215203,0.0886561
2.7,6.38803,6.75,0.0175809,0,0.0135257,0,2.44421,2.5,0.000615632,0,0.5032,-0.0307089,-0.0236722,0.102869
2.8,6.63711,7,0.0320955,0,0.0151872,0,2.69438,2.5,0.0410851,0,-0.21171,-0.153159,0.0209957,0.116826
2.9,6.91409,7,0.0509706,0,0.0176176,0,2.69053,2.5,-0.0162636,0,-0.262768,-0.00491339,0.0099302,0.13049
3,7.14883,7.5,0.0633029,0,0.0170429,0,2.51701,2.5,-0.000910621,0,-0.025315,-0.0531149,0.00821082,0.143828
3.1,7.3673,7.75,0.0939585,0,0.0165006,0,2.13665,2.5,-0.0107496,0,0.727397,-0.0651294,0.0709994,0.156806
3.2,7.58168,8,0.107679,0,0.0145328,0,2.21558,2.5,-0.0287813,0,0.876154,-0.0220702,0.0773497,0.169393
3.3,7.79802,8.25,0.139475,0,0.0118933,0,2.097,2.5,-0.0403257,0,1.18903,-0.0125844,0.116942,0.181556
3.4,8.01856,8.5,0.158286,0,0.00733748,0,2.24913,2.5,-0.0890931,0,1.11125,0.102321,0.165687,0.193265
3.5,8.25971,8.75,0.169407,0,-0.000466533,0,2.4801,2.5,-0.0819176,0,0.751427,0.106882,0.130079,0.204492
3.6,8.52929,9,0.184399,0,-0.00753215,0,2.86741,2.5,-0.0661306,0,-0.32506,0.0703662,0.148437,0.215207
3.7,8.80995,9.25,0.206944,0,-0.0128452,0,2.61013,2.5,-0.0700433,0,0.0200666,0.112462,0.161595,0.225384
3.8,9.0526,9.5,0.225592,0,-0.0176221,0,2.40134,2.5,-0.0410998,0,0.466459,0.011622,0.195899,0.234998
3.9,9.29815,9.75,0.249079,0,-0.0216806,0,2.54111,2.5,-0.0416516,0,0.086762,0.0409603,0.185978,0.244025
4,9.54882,10,0.271189,0,-0.0236644,0,2.69879,2.5,-0.00916952,0,-0.0468139,-0.0244386,0.149575,0.252441
4.1,9.80006,10,0.292239,0,-0.0245771,0,2.64481,2.5,-0.0201232,0,-0.0294818,0.0158884,0.12253,0.260227
4.2,10.0657,10.5,0.30841,0,-0.0255522,0,2.83762,2.5,-0.0236249,0,-0.355266,0.0256053,0.141307,0.267362
4.3,10.3407,10.5,0.325326,0,-0.0306109,0,2.5019,2.5,-0.0833827,0,0.0992841,0.143828,0.182504,0.273829
4.4,10.5701,11,0.341259,0,-0.0355407,0,2.15134,2.5,-0.0597648,0,0.874113,0.098095,0.208044,0.279612
4.5,10.7789,11.25,0.366031,0,-0.0408587,0,2.07907,2.5,-0.0528964,0,1.27945,0.104254,0.155173,0.284695
4.6,11.0006,11.5,0.37999,0,-0.0464757,0,2.31394,2.5,-0.0680739,0,1.05054,0.145591,0.177614,0.289067
4.7,11.2376,11.75,0.401752,0,-0.0521829,0,2.53841,2.5,-0.0548909,0,0.63594,0.0953487,0.238597,0.292717
4.8,11.4946,11.75,0.411601,0,-0.0578741,0,2.53968,2.5,-0.0771593,0,0.127907,0.166888,0.234323,0.295635
4.9,11.7406,12.25,0.42393,0,-0.063689,0,2.22997,2.5,-0.0337727,0,0.889263,0.0986273,0.199679,0.297814
5,11.9524,12.5,0.431495,0,-0.0654992,0,2.30908,2.5,-0.0257123,0,1.02506,0.0506619,0.238365,0.299248
5.1,12.1947,12.75,0.452988,0,-0.0682745,0,2.62319,2.5,-0.0209829,0,0.250527,0.0445973,0.266427,0.299935
5.2,12.4529,13,0.461668,0,-0.0707509,0,2.361,2.5,-0.0305812,0,0.71561,0.0374071,0.334363,0.299872
5.3,12.7166,13,0.472105,0,-0.0686787,0,2.79344,2.5,0.0409028,0,-0.0937769,-0.165597,0.341727,0.29906
5.4,12.9762,13.5,0.494213,0,-0.0656488,0,2.58214,2.5,0.0686977,0,0.246208,-0.234947,0.315018,0.297499
5.5,13.1953,13.75,0.501782,0,-0.0621403,0,2.10912,2.5,0.044022,0,1.19134,-0.182704,0.288877,0.295196
5.6,13.4088,14,0.52579,0,-0.0602128,0,2.22448,2.5,0.0104858,0,1.31239,-0.113408,0.294246,0.292154
5.7,13.6473,14.25,0.535573,0,-0.0591031,0,2.50535,2.5,0.0273078,0,0.869217,-0.172966,0.287883,0.288383
5.8,13.9035,14.25,0.549989,0,-0.0576662,0,2.55323,2.5,0.0127362,0,0.671371,-0.130871,0.278836,0.28389
5.9,14.1558,14.75,0.565997,0,-0.0572166,0,2.22396,2.5,-0.0234162,0,1.18791,-0.0548458,0.28314,0.278688
6,14.3887,15,0.576482,0,-0.0603004,0,2.48494,2.5,-0.0573417,0,0.921078,0.0142325,0.313548,0.272789
6.1,14.6723,15.25,0.586495,0,-0.0652278,0,2.78952,2.5,-0.0505134,0,-0.0560083,0.0293102,0.317232,0.266209
6.2,14.9509,15.5,0.593584,0,-0.069029,0,2.75378,2.5,-0.0498833,0,-0.092745,0.0456107,0.290009,0.258963
6.3,15.234,15.5,0.600619,0,-0.0725296,0,2.89569,2.5,-0.0305864,0,-0.294718,0.0177181,0.279738,0.25107
6.4,15.5103,16,0.60805,0,-0.0757787,0,2.43612,2.5,-0.0531539,0,0.454982,0.0265546,0.320776,0.242549
6.5,15.7543,16.25,0.610742,0,-0.0799288,0,2.24483,2.5,-0.0560266,0,1.00769,0.0417241,0.281052,0.233422
6.6,15.9801,16.5,0.606087,0,-0.0835869,0,2.13745,2.5,-0.0269404,0,1.39885,-0.00826305,0.317199,0.223712
6.7,16.2144,16.75,0.611813,0,-0.0847882,0,2.41386,2.5,-0.00375728,0,1.08654,-0.0595136,0.280668,0.213442
6.8,16.4593,17,0.616875,0,-0.0855377,0,2.58461,2.5,-0.0192425,0,0.713107,-0.0188119,0.269908,0.202639
