t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
0,0,0,0,0,0,0,2,2.5,0,0,0.110069,0.121492,-0.015943,0
0.1,0.207667,0.25,-0.00548323,0,-0.00032044,0,2.10582,2.5,0.000190866,0,0.232312,-0.500347,0.907595,0
0.2,0.429506,0.5,-0.00293566,0,-0.00223064,0,2.31995,2.5,-0.0570364,0,-0.00405348,-0.318059,0.373394,0
0.3,0.658374,0.5,-0.00325418,0,-0.0077831,0,2.08146,2.5,-0.0780567,0,0.453217,0.370446,-0.062182,0
0.4,0.863354,1,-0.00309836,0,-0.0115809,0,2.40359,2.5,-0.020095,0,0.043261,-0.143276,0.165704,0
0.5,1.09229,1.25,-0.0110444,0,-0.0147443,0,2.27123,2.5,-0.0554065,0,0.148843,0.249983,-0.017553,0
0.6,1.31958,1.25,-0.0127515,0,-0.018812,0,2.42523,2.5,-0.0250724,0,-0.0204767,-0.0912793,0.141948,0
0.7,1.58186,1.75,-0.0218974,0,-0.0238285,0,2.54332,2.5,-0.0613449,0,-0.288685,0.249483,0.0114303,0
0.8,1.84308,2,-0.0351298,0,-0.0288349,0,2.49078,2.5,-0.045901,0,-0.243634,0.414218,-0.104346,0
0.9,2.07433,2.25,-0.0474604,0,-0.0299518,0,2.14865,2.5,0.0160591,0,0.36439,0.144648,-0.0363923,0
1,2.29995,2.5,-0.0506801,0,-0.0293296,0,2.3386,2.5,0.0013737,0,0.258406,0.0976514,0.018512,0
1.1,2.5511,2.75,-0.0474511,0,-0.02957,0,2.46812,2.5,0.0110052,0,0.016202,0.174627,-0.0281667,0
1.2,2.78741,2.75,-0.0529429,0,-0.0284532,0,2.41672,2.5,0.0112461,0,0.0814892,0.218336,-0.0489368,0
1.3,3.04122,3.25,-0.0598183,0,-0.0277472,0,2.73265,2.5,0.00747499,0,-0.471039,0.26588,-0.084096,0
1.4,3.3023,3.5,-0.0556972,0,-0.0256715,0,2.58916,2.5,0.0482852,0,-0.126818,-0.0450514,0.00847543,0
1.5,3.56268,3.75,-0.0591232,0,-0.0218849,0,2.70031,2.5,0.0520006,0,-0.498478,-0.0407774,0.0238706,0
